family,dataset,concept,role,n,retention_rate,spearman_r,spearman_p,ci_lower,ci_upper,homeland_name
Austronesian,ABVD (JLE baseline),SEA,anchor,612,0.4951,0.4221,0.0000,0.3583,0.4954,Taiwan
Austronesian,ABVD (JLE baseline),LEFT,control,630,0.4063,0.2578,0.0000,0.1743,0.3353,Taiwan
Austronesian,ABVD (JLE baseline),RIGHT,control,606,0.3548,-0.5849,0.0000,-0.6369,-0.5325,Taiwan
Austronesian,ABVD (JLE baseline),ABOVE,control,351,0.2678,-0.2842,0.0000,-0.3769,-0.1937,Taiwan
Austronesian,ABVD (JLE baseline),BELOW,control,360,0.2250,-0.0994,0.0596,-0.1919,0.0031,Taiwan
Indo-European,IECoR (Steppe homeland),RIVER,anchor,122,0.2131,-0.0620,0.4978,-0.2711,0.1154,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),FOREST,anchor,93,0.1183,-0.3374,0.0009,-0.4687,-0.2030,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),DOG,anchor,131,0.6260,0.0526,0.5510,-0.1279,0.2389,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),SALT,anchor,130,0.6769,0.1122,0.2037,-0.0518,0.2835,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),SEA,control,110,0.5273,0.1657,0.0836,-0.0285,0.3496,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),TREE,control,122,0.2869,-0.4433,0.0000,-0.5780,-0.2842,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),LEFT,control,116,0.1466,-0.3447,0.0002,-0.4635,-0.2192,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),RIGHT,control,141,0.4184,0.1950,0.0205,0.0348,0.3623,Pontic-Caspian steppe
Indo-European,IECoR (Steppe homeland),MOUNTAIN,control,139,0.2086,0.4104,0.0000,0.2816,0.5440,Pontic-Caspian steppe
Sino-Tibetan,sagartst,RICE,anchor,23,0.3043,0.2707,0.2116,-0.1233,0.6080,Upper Yellow River basin
Sino-Tibetan,sagartst,MOUNTAIN,anchor,36,0.1667,-0.0502,0.7711,-0.3067,0.2146,Upper Yellow River basin
Sino-Tibetan,sagartst,SALT,anchor,40,0.4500,-0.3874,0.0135,-0.6264,-0.1029,Upper Yellow River basin
Sino-Tibetan,sagartst,BARLEY,anchor,21,0.0952,-0.2679,0.2404,-0.5413,0.0398,Upper Yellow River basin
Sino-Tibetan,sagartst,SEA,control,23,0.2174,-0.3496,0.1020,-0.6544,0.0128,Upper Yellow River basin
Sino-Tibetan,sagartst,HORSE,control,27,0.5556,-0.2584,0.1932,-0.5841,0.0946,Upper Yellow River basin
Sino-Tibetan,sagartst,LEFT,control,39,0.3077,0.0494,0.7654,-0.2936,0.3463,Upper Yellow River basin
Sino-Tibetan,sagartst,RIGHT,control,46,0.3261,-0.0996,0.5104,-0.3564,0.1916,Upper Yellow River basin
Sino-Tibetan,sagartst,TREE,control,45,0.6444,-0.1609,0.2912,-0.4239,0.1312,Upper Yellow River basin
Sino-Tibetan,sagartst,RIVER,control,43,0.1163,0.1520,0.3305,-0.0461,0.3570,Upper Yellow River basin
Sino-Tibetan,"ST pooled (sagartst+zhangst+peirosst, harmonised)",MOUNTAIN,control,113,0.0442,-0.1293,0.1723,-0.2156,-0.0410,Upper Yellow River basin
Sino-Tibetan,"ST pooled (sagartst+zhangst+peirosst, harmonised)",TREE,control,140,0.3071,-0.1642,0.0526,-0.3273,-0.0025,Upper Yellow River basin
