glottocode,language_name,source_dataset,concept,raw_cognate_id,harmonised_cognate_id,form,lat,lon,dist_homeland_km,retention
amdo1237,Tibetan_Alike,sagartst,MOUNTAIN,121-themountain,H0000,r.ə,38.318508,92.839938,1060.7989143961886,0
bahi1252,Kiranti_Bahing,sagartst,MOUNTAIN,1404-themountain,H0001,k.o.ŋ.k.o,27.309472,86.430334,1873.971761115711,0
bant1281,Kiranti_Bantawa,sagartst,MOUNTAIN,815-themountain,H0002,ts.o.m.ts.u.r.i,27.117894,87.049995,1833.369668838723,0
beij1235,Sinitic_Beijing,sagartst,MOUNTAIN,1798-themountain,H0003,ʂ.a.n.⁵⁵,39.909056,116.397422,1221.3770908753272,0
boka1249,Tani_Bokar,sagartst,MOUNTAIN,4139-themountain,H0004,o.+.g.o,27.554547,93.15717,1320.3083428062087,0
byan1241,TibetoKinauri_Byangsi,sagartst,MOUNTAIN,393-themountain,H0005,j.ɛ̀,29.583838,80.22309,2308.4379711809743,0
chao1238,Sinitic_Chaozhou,sagartst,MOUNTAIN,1798-themountain,H0006,s.ũ.ã.∼.³³,23.657699,116.622317,1754.1158394768415,0
chao1239,Sinitic_Jieyang,sagartst,MOUNTAIN,1798-themountain,H0006,s.ũ.ã.∼.³³,23.551122,116.373013,1746.4883636899253,0
chep1245,Chepang_Chepang,sagartst,MOUNTAIN,3855-themountain,H0007,s.j.a.+.l.u.ŋ,27.785164,84.908801,1977.3216098637133,0
clas1254,Tibetan_Old_Tibetan,sagartst,MOUNTAIN,2509-themountain,H0008,s.g.a.ŋ,30.027852,91.158704,1323.5200186334196,0
diga1241,Deng_Darang_Taraon,sagartst,MOUNTAIN,2866-themountain,H0009,th.ɯ.⁵⁵.◦.j.ɑ.⁵⁵,28.657986,97.469136,936.5037085239524,0
drun1238,Nungic_Dulong,sagartst,MOUNTAIN,3997-themountain,H0010,l.ɯ.³¹.+.k.ɑ.⁵⁵,27.749017,98.691868,950.3989740917336,0
eree1240,Khroskyabs_Wobzi,sagartst,MOUNTAIN,673-themountain,H0011,pʰ.ɑ́,31.62758,101.427999,444.6359269168338,0
garo1247,Garo_Garo,sagartst,MOUNTAIN,3976-themountain,H0012,h.a.ʔ.+.b.r.i,25.504744,90.333226,1681.643687723516,0
guan1279,Sinitic_Guangzhou,sagartst,MOUNTAIN,1798-themountain,H0013,s.a.n.⁵³₅₅,23.131111,113.258099,1595.4352623846842,0
haka1240,Chin_Hakha,sagartst,MOUNTAIN,11-themountain,H0014,t.l.âa/a.ŋ,22.870089,92.820021,1730.18005941497,0
hakk1236,Sinitic_Longgang,sagartst,MOUNTAIN,1798-themountain,H0013,s.a.n.³³,22.725545,114.243825,1688.2113071871474,0
idum1241,Deng_Yidu,sagartst,MOUNTAIN,2866-themountain,H0010,m.ɑ.³¹.◦.j.ɑ.³⁵,29.448172,95.650179,998.3281775034461,0
karb1241,Karbi,sagartst,MOUNTAIN,10404-themountain,H0015,i.ng.l.o.ng,25.735084,93.050494,1469.3887328695669,0
khal1275,Kiranti_Khaling,sagartst,MOUNTAIN,2271-themountain,H0016,ʣʰ.e.s,27.390595,87.510016,1778.723827574318,0
kham1282,Tibetan_Batang,sagartst,MOUNTAIN,121-themountain,H0017,ʐ.ɪ.²³¹,30.00795,99.111944,719.660588515105,0
kulu1253,Kiranti_Kulung,sagartst,MOUNTAIN,677-themountain,H0018,b.u.r,27.690037,86.910944,1811.506621426413,0
limb1266,Kiranti_Limbu,sagartst,MOUNTAIN,2511-themountain,H0019,t.ɔ.k.s.ɔ.ŋ,27.272065,87.889909,1754.3589546328221,0
lisu1250,Loloish_Lisu,sagartst,MOUNTAIN,2509-themountain,H0020,k.o̱.³³,25.950046,98.848486,1120.405191780101,0
lush1249,Mizo_Lushai,sagartst,MOUNTAIN,11-themountain,H0014,t.l.â.ŋ,22.60535,92.629457,1765.4760217143903,0
maru1249,Burmish_Maru,sagartst,MOUNTAIN,1274-themountain,H0021,p.a.m.³¹,24.939981,99.83,1188.2000081682343,0
nucl1310,Burmish_Rangoon,sagartst,MOUNTAIN,1079-themountain,H0022,t.ɑ̃.u.∼.²²,16.874207,96.190785,2159.4171097168146,0
oldb1235,Burmish_Old_Burmese,sagartst,MOUNTAIN,1079-themountain,H0023,t.o₂.ṅ,21.624974,97.126742,1631.1373031732667,0
oldc1244,Sinitic_Old_Chinese,sagartst,MOUNTAIN,1798-themountain,H0024,s.+.ŋ.r.a.r,34.101745,108.777868,448.7745727718275,0
rabh1238,Rabha,sagartst,MOUNTAIN,10403-themountain,H0025,h.á.+.tʃ.u,25.820135,91.170064,1596.0857772457657,0
situ1238,rGyalrong_Maerkang,sagartst,MOUNTAIN,673-themountain,H0026,t.ɑ._.w.ɑ.t,31.868614,102.295293,382.42303892245303,0
tang1334,Tangut,sagartst,MOUNTAIN,3760-themountain,H0027,ŋ.ə.r.¹,38.477453,106.285383,436.9825453921547,0
thul1246,Kiranti_Thulung,sagartst,MOUNTAIN,4079-themountain,H0028,dz.ɵ.dz.ɵ.l.u.ŋ,27.534944,87.609608,1761.839893233349,0
ukhr1238,Naga_Ukhrul,sagartst,MOUNTAIN,2083-themountain,H0029,k.ə.+.pʰ.u.ŋ,25.092617,94.37045,1438.025217355371,0
utsa1239,Tibetan_Lhasa,sagartst,MOUNTAIN,121-themountain,H0030,r.i.¹³,29.653441,91.171493,1342.5052526765019,0
wayu1241,Kiranti_Hayu,sagartst,MOUNTAIN,10229-themountain,H0031,tsʰ.aː.d.z.ʊ,27.302102,86.099009,1902.3678956586232,0
acha1249,Achang_Longchuan,zhangst,MOUNTAIN,163,H0032,*s-bʷa(m/p),24.35,97.74,1328.9044701511132,1
aona1235,Ao_Mongsen_Longchang,zhangst,MOUNTAIN,3581,H0033,*s-gaŋ,26.27,94.41,1334.2861662782211,0
horp1239,Daofu,zhangst,MOUNTAIN,6076,H0034,*ri,31.1,101.72,482.8843570753132,0
kach1280,Jingpho,zhangst,MOUNTAIN,163,H0032,*s-bʷa(m/p),25.46,97.33,1238.5068277115624,1
khum1248,Khumi,zhangst,MOUNTAIN,4772,H0035,*mual,22.87,92.99,1719.924465261033,0
lahu1252,Lahu_Yellow,zhangst,MOUNTAIN,3581,H0033,*s-gaŋ,21.21,100.97,1561.657401979799,0
lahu1253,Lahu_Lancang,zhangst,MOUNTAIN,3581,H0033,*s-gaŋ,22.53,99.91,1442.3535694800225,0
lash1243,Leqi_Luxi,zhangst,MOUNTAIN,163,H0032,*s-bʷa(m/p),26.1,98.55,1118.2892931239362,1
loth1237,Lotha_Naga,zhangst,MOUNTAIN,6904,H0036,*pʰuŋ,26.01,94.04,1380.3561648639704,0
mana1288,Manang_Prakaa,zhangst,MOUNTAIN,3581,H0033,*s-gaŋ,28.64,84.05,2008.7807100942473,0
nung1282,Anong,zhangst,MOUNTAIN,2453,H0037,*m-l(e/ə)y,27.29,98.73,992.8123230119365,0
nyis1236,Bengni,zhangst,MOUNTAIN,6222,H0034,*di,28.41,92.96,1274.440260487905,0
pela1242,Bola_Luxi,zhangst,MOUNTAIN,163,H0032,*s-bʷa(m/p),24.21,97.92,1335.2627433643606,1
quey1238,Queyu_Yajiang_Zhaba,zhangst,MOUNTAIN,6076,H0034,*ri,30.31,100.81,600.8636267474817,0
tang1336,Tangkhul,zhangst,MOUNTAIN,6904,H0036,*pʰuŋ,25.05,94.36,1442.4179195756658,0
tawa1289,Cuona_Menba,zhangst,MOUNTAIN,6076,H0034,*ri,27.77,92.18,1378.5846982315834,0
thad1238,Thado,zhangst,MOUNTAIN,5263,H0038,*klaaŋ,24.1,93.72,1565.6669582714248,0
